product_id,product_name,category,price
10001,Samsung 43 inch 4K Smart LED TV,Electronics,32999
10002,boAt Airdopes 141 True Wireless Earbuds,Headphones & Earphones,1499
10003,Redmi 13C 5G Smartphone (8GB+256GB),Mobile Phones,11999
10004,Lenovo IdeaPad Slim 3 Intel i5 12th Gen Laptop,Laptops,48990
10005,Noise ColorFit Ultra 3 Smartwatch,Fitness & Wearables,3499
10006,Levi's Men's Slim Fit Jeans,Clothing,2299
10007,Adidas Men's Running Shoes - Duramo,Footwear,3499
10008,Fastrack Analog Watch for Men,Accessories,1499
10009,Philips Air Fryer HD9252/90 4.1L,Home Appliances,8999
10010,Prestige Popular Plus Induction Base Pressure Cooker 5L,Kitchenware,2199
10011,Wooden Study Table with Bookshelf,Furniture,6999
10012,Rich Dad Poor Dad by Robert Kiyosaki,Books,349
10013,Classmate Notebook A4 200 Pages,Stationery,89
10014,Maybelline SuperStay Matte Ink Lipstick,Beauty,599
10015,Dove Intense Repair Shampoo 650ml,Personal Care,349
10016,Fortune Soyabean Oil 5L pouch,Groceries,895
10017,Lay's India's Magic Masala Chips 90g,Snacks,45
10018,Taj Mahal Premium Tea 1kg,Beverages,499
10019,SG Sunny Tonny English Willow Cricket Bat,Sports,3499
10020,Amazon Basics Yoga Mat 6mm,Fitness,799
10021,JBL Flip 6 Portable Bluetooth Speaker,Electronics,7999
10022,Realme Buds Air 6 Pro,Headphones & Earphones,4999
10023,Poco X6 5G (12GB+512GB),Mobile Phones,24999
10024,HP 15s Intel Core i5 12th Gen Laptop,Laptops,52990
10025,Fire-Boltt Ninja Call Pro Plus Smartwatch,Fitness & Wearables,2499
10026,H&M Oversized Cotton T-Shirt,Clothing,799
10027,Nike Revolution 7 Running Shoes,Footwear,4499
10028,Polarized Sunglasses UV400,Accessories,699
10029,Bajaj GX-8 750W Mixer Grinder,Home Appliances,3499
10030,Hawkins Futura Non-Stick Kadhai 3L,Kitchenware,1299
10031,Ergonomic Office Chair with Lumbar Support,Furniture,8999
10032,Atomic Habits by James Clear,Books,449
10033,Cello Gripper Ball Pen Pack of 25,Stationery,199
10034,Lakmé Absolute Matte Melt Mini Lipstick,Beauty,399
10035,Head & Shoulders Anti-Dandruff Shampoo 650ml,Personal Care,399
10036,Aashirvaad Superior MP Atta 10kg,Groceries,499
10037,Parle Monaco Classic Biscuits 800g,Snacks,129
10038,Nescafé Gold Blend Coffee 100g,Beverages,349
10039,Yonex Nanoray Light 18i Badminton Racket,Sports,1899
10040,Adjustable Skipping Rope with Counter,Fitness,399
10041,Amazon Echo Dot (5th Gen) with Clock,Smart Home,4999
10042,boAt Rockerz 255 Pro+ Neckband,Headphones & Earphones,1299
10043,Motorola Edge 50 Fusion 5G,Mobile Phones,22999
10044,Acer Aspire 7 Gaming Laptop Ryzen 5,Laptops,64990
10045,Titan Crest Smartwatch,Fitness & Wearables,6999
10046,Raymond Men's Formal Shirt,Clothing,1499
10047,Sparx Men's Canvas Sneakers,Footwear,1199
10048,Wildcraft 45L Travel Backpack,Accessories,1899
10049,Usha Electric Kettle 1.8L,Home Appliances,999
10050,Borosil Glass Lunch Box Set 3 pcs,Kitchenware,799
10051,Queen Size Memory Foam Mattress,Furniture,18999
10052,The Power of Your Subconscious Mind,Books,199
10053,Post-it Notes 3x3 100 Sheets,Stationery,149
10054,Nivea Soft Light Moisturiser 200ml,Beauty,249
10055,Ariel Matic Front Load Detergent 4kg,Groceries,899
10056,Haldiram's Bhujia 1kg,Snacks,349
10057,Tetley Green Tea 100 Bags,Beverages,299
10058,Nivia Storm Football,Sports,599
10059,Adjustable Dumbbell Set 20kg,Fitness,3999
10060,Syska 30W LED Bulb Smart,Electronics,799
10061,Sony WH-CH720N Wireless Headphones,Headphones & Earphones,9999
10062,Vivo T3 5G (8GB+128GB),Mobile Phones,19999
10063,Dell Vostro 14 Thin & Light Laptop,Laptops,45990
10064,NoiseFit Halo Plus Smartwatch,Fitness & Wearables,3999
10065,Women Rayon Anarkali Kurti,Clothing,999
10066,Bata Comfit Slippers,Footwear,799
10067,Wrist Band Fitness Tracker Strap,Accessories,299
10068,Havells 1200mm Ceiling Fan,Home Appliances,2499
10069,Prestige Omega Deluxe Grill Pan,Kitchenware,1499
10070,Wall Shelf Set of 3,Furniture,1999
10071,Rich Dad's Cashflow Quadrant,Books,399
10072,Faber-Castell Colour Pencils 24 Shades,Stationery,199
10073,Ponds Super Light Gel Moisturiser,Beauty,199
10074,Harpic Power Plus Toilet Cleaner 1L,Personal Care,149
10075,Basmati Rice India Gate 5kg,Groceries,899
10076,Pringles Original Chips 110g,Snacks,149
10077,Bournvita Health Drink 500g,Beverages,299
10078,Cosco Vinyl Dumbbells 3kg Pair,Fitness,799
10079,TP-Link WiFi Range Extender,Electronics,1499
10080,OnePlus Nord Buds 2r,Headphones & Earphones,2299
10081,Samsung Galaxy M35 5G,Mobile Phones,19999
10082,HP 14s Intel Core i3 Laptop,Laptops,36990
10083,boAt Storm Infinity Smartwatch,Fitness & Wearables,2999
10084,Men Cargo Shorts,Clothing,999
10085,Puma Smash V2 Sneakers,Footwear,2999
10086,Laptop Sleeve 15.6 inch,Accessories,599
10087,Morphy Richards 2 Slice Toaster,Home Appliances,1499
10088,Milton Thermosteel Flask 1L,Kitchenware,899
10089,Single Bed with Box Storage,Furniture,14999
10090,You Are the Placebo by Joe Dispenza,Books,499
10091,Camlin Permanent Marker Pack of 10,Stationery,149
10092,Revlon ColorStay Foundation,Beauty,999
10093,Closeup Ever Fresh Gel Toothpaste,Personal Care,99
10094,Saffola Gold Oil 5L,Groceries,999
10095,Bingo Tedhe Medhe 66g,Snacks,20
10096,Lipton Green Tea 100 Bags,Beverages,249
10097,Decathlon Football Shin Guards,Sports,499
10098,Hand Grip Strengthener,Fitness,299
10099,Anker 20W USB-C Charger,Electronics,999
10100,JBL Tune 760NC Headphones,Headphones & Earphones,5999
10101,Realme Narzo 70 Pro 5G,Mobile Phones,24999
10102,Asus Vivobook Go 15,Laptops,36990
10103,Casio G-Shock Analog-Digital Watch,Accessories,7999
10104,Women Palazzo Pants,Clothing,799
10105,Liberty Casual Loafers,Footwear,1299
10106,Trimmer for Men,Personal Care,1499
10107,Induction Base Non-Stick Tawa 28cm,Kitchenware,799
10108,Wall Clock Modern,Home Decor,999
10109,The Psychology of Money,Books,299
10110,Pilot V5 Roller Ball Pen Blue,Stationery,45
10111,Garnier Men Acno Fight Face Wash,Personal Care,149
10112,Santoor Sandal & Turmeric Soap Pack of 4,Personal Care,99
10113,Sunfeast Dark Fantasy Choco Fills,Snacks,120
10114,B Natural Mixed Fruit Juice 1L,Beverages,89
10115,Cosco Badminton Shuttlecock Pack of 6,Sports,399
10116,Resistance Tube Set,Fitness,599
10117,MI 33W SonicCharge Charger,Electronics,799
10118,Noise Air Buds Pro,Headphones & Earphones,2499
10119,Oppo K12x 5G,Mobile Phones,13999
10120,Lenovo V15 G4 Laptop AMD Ryzen 5,Laptops,42990
10121,Ambrane 20000mAh Power Bank,Accessories,1999
10122,Men Track Pant,Clothing,899
10123,Asian Casual Shoes,Footwear,999
10124,Waterproof Dry Bag 10L,Accessories,799
10125,Kent Ace 8L RO Water Purifier,Home Appliances,14999
10126,Borosil Glass Storage Container Set,Kitchenware,999
10127,TV Unit with Storage,Furniture,12999
10128,How to Win Friends and Influence People,Books,249
10129,Stapler Small with Pins,Stationery,99
10130,Himalaya Neem Face Wash,Beauty,149
10131,Dettol Handwash 675ml,Personal Care,149
10132,Surya Gold Basmati Rice 5kg,Groceries,799
10133,Uncle Chipps Magic Masala,Snacks,25
10134,Boost Health Energy Drink 500g,Beverages,249
10135,Nivia Storm Football,Sports,599
10136,Push-up Bars,Fitness,499
10137,Zebronics Zeb-Sound Bomb X1 Earbuds,Headphones & Earphones,1299
10138,Infinix Note 40 5G,Mobile Phones,17999
10139,HP 255 G9 Ryzen 5 Laptop,Laptops,39990
10140,boAt Xtend Sport Smartwatch,Fitness & Wearables,2499
10141,Women Crop Top,Clothing,599
10142,Bata Power Slippers,Footwear,699
10143,Umbrella Folding,Accessories,399
10144,Orpat Hand Blender 400W,Home Appliances,999
10145,Glass Measuring Jug 1L,Kitchenware,399
10146,Shoe Rack 3 Tier,Furniture,2499
10147,The Monk Who Sold His Ferrari,Books,199
10148,Highlighter Yellow Pack of 5,Stationery,99
10149,Lotus Herbals Sunscreen SPF 50,Beauty,399
10150,Pepsodent Germi Check Toothpaste,Personal Care,89
10151,Patanjali Dant Kanti Toothpaste,Personal Care,75
10152,Saffola Oats 1kg,Groceries,199
10153,50-50 Maska Chaska Biscuits,Snacks,50
10154,Real Fruit Power Juice Guava 1L,Beverages,89
10155,Decathlon Tennis Racket,Sports,1499
10156,Ab Wheel Roller,Fitness,499
10157,D-Link 8 Port Gigabit Switch,Electronics,1999
10158,boAt BassHeads 100 Wired Earphones,Headphones & Earphones,399
10159,Tecno Spark 20 Pro 5G,Mobile Phones,14999
10160,Dell Inspiron 3530 Laptop i5 13th Gen,Laptops,57990
10161,Amazfit Bip 5 Smartwatch,Fitness & Wearables,5999
10162,Men Sweatshirt Hooded,Clothing,1299
10163,Campus Men's Sports Shoes,Footwear,1199
10164,Earphone Pouch Case,Accessories,299
10165,Inalsa Hand Mixer 200W,Home Appliances,999
10166,Tupperware Microwave Safe Bowl,Kitchenware,499
10167,Wall Mirror 24 inch,Home Decor,1499
10168,Rich Dad's Guide to Investing,Books,399
10169,Glue Stick 15g,Stationery,35
10170,Neutrogena Oil Free Moisturiser,Beauty,499
10171,Dove Soap Beauty Cream Bar Pack of 4,Personal Care,149
10172,Everest Pav Bhaji Masala 100g,Groceries,89
10173,Too Yumm Millet Chips,Snacks,40
10174,Society Tea 500g,Beverages,249
10175,Nivia Heavy Tennis Ball Pack,Sports,199
10176,Hand Exerciser Grip,Fitness,249
10177,Belkin 20W USB-C Charger,Electronics,999
10178,Sennheiser CX 80S Wired Earphones,Headphones & Earphones,2499
10179,Nothing Phone (2a) 5G,Mobile Phones,23999
10180,Asus Vivobook 16X Laptop,Laptops,64990
10181,CrossBeats Ignite S2 Smartwatch,Fitness & Wearables,3499
10182,Women Leggings High Waist,Clothing,599
10183,Walkaroo Slippers,Footwear,499
10184,Mobile Stand Foldable,Accessories,199
10185,Inalsa Steam Iron 1200W,Home Appliances,999
10186,Stainless Steel Cutlery Set 24 pcs,Kitchenware,1499
10187,Computer Table with CPU Stand,Furniture,5999
10188,Think and Grow Rich,Books,199
10189,Correction Tape 6m,Stationery,45
10190,The Body Shop Tea Tree Face Wash,Beauty,599
10191,Sensodyne Sensitivity Toothpaste,Personal Care,199
10192,MTR Idli & Dosa Batter 1kg,Groceries,119
10193,Cheetos Balls 90g,Snacks,40
10194,Horlicks Classic Malt 500g,Beverages,249
10195,Cosco Badminton Grip,Sports,99
10196,Ankle Weights 1kg Pair,Fitness,599
10197,Portronics 65W GaN Charger,Electronics,2499
10198,Realme Buds T310,Headphones & Earphones,2299
10199,iQOO Z9 5G,Mobile Phones,19999
10200,MSI Modern 14 Laptop i5 12th Gen,Laptops,44990
10201,Non-Stick Kadai,Kitchenware,981
10202,Smart Plug,Electronics,65116
10203,Stainless Steel Lunch Box,Kitchenware,918
10204,Wallet Leather,Accessories,1109
10205,Mixer Grinder 1000W,Home Appliances,24576
10206,Ceiling Fan,Home Appliances,22930
10207,Thin & Light Laptop,Laptops,57658
10208,Nuts Pack,Snacks,265
10209,Wallet Leather,Accessories,2554
10210,Casual Shirt,Clothing,1082
10211,Slippers,Footwear,950
10212,Fruit Juice 7L,Beverages,221
10213,Chromebook,Laptops,34636
10214,AMD Ryzen 5 Laptop,Laptops,31846
10215,Gaming Laptop,Laptops,33014
10216,Formal Shoes,Footwear,4133
10217,Yoga Mat,Sports,3231
10218,Hoodie,Clothing,2368
10219,Fruit Juice 5L,Beverages,386
10220,Salt Pack,Groceries,931
10221,Gaming Laptop,Laptops,64055
10222,Spices Masala,Groceries,360
10223,Yoga Mat,Sports,743
10224,Wireless Earbuds,Electronics,17901
10225,Hair Oil,Beauty,1262
10226,Skipping Rope,Sports,1782
10227,Over-Ear Headphones,Headphones & Earphones,4209
10228,Running Watch,Fitness & Wearables,7971
10229,Business Book,Books,901
10230,Face Wash,Personal Care,609
10231,Induction Cooktop,Home Appliances,9949
10232,Study Table,Furniture,30466
10233,Bluetooth Speaker,Electronics,27463
10234,Glass Water Bottle,Kitchenware,1184
10235,Cutlery Set,Kitchenware,1684
10236,Wired Earphones,Headphones & Earphones,9831
10237,Deodorant,Personal Care,400
10238,Cricket Bat,Sports,3723
10239,Cooking Oil 7L,Groceries,783
10240,Bluetooth Speaker,Electronics,32578
10241,Camera Phone,Mobile Phones,15503
10242,Sunglasses,Accessories,1951
10243,Marker Permanent,Stationery,86
10244,Chromebook,Laptops,48880
10245,Salt Pack,Groceries,850
10246,Glass Water Bottle,Kitchenware,375
10247,Watch Strap,Accessories,809
10248,Face Wash,Personal Care,782
10249,Yoga Mat,Sports,1021
10250,Camera Phone,Mobile Phones,12967
10251,Backpack 32L,Accessories,1760
10252,Non-Stick Kadai,Kitchenware,2554
10253,Push-up Bars,Fitness,1976
