order_id,customer_id,product_id,order_date,quantity,amount
110301,14450,10362,2025-07-10,1,993
110302,14288,10120,2025-10-26,2,85980
110303,14342,10153,2025-12-17,1,50
110304,14338,10552,2025-07-14,2,5108
110305,14383,10413,2025-12-08,1,1502
110306,14336,10398,2025-07-04,1,12194
110307,14330,10660,2025-10-26,1,87
110308,14313,10647,2025-04-30,1,226
110309,14482,10585,2025-10-30,1,473
110310,14263,10286,2025-10-19,1,53207
110311,14204,10485,2025-08-15,4,2788
110312,14333,10689,2025-12-21,3,6072
110313,14165,10430,2025-04-06,1,54248
110314,14254,10693,2025-10-25,1,1788
110315,14170,10074,2025-06-10,1,149
110316,14185,10334,2025-05-11,2,232
110317,14329,10326,2025-11-16,1,7977
110318,14330,10087,2025-07-22,2,2998
110319,14323,10583,2025-04-24,2,1618
110320,14035,10487,2025-07-23,2,682
110321,14163,10510,2025-04-03,2,2164
110322,14275,10396,2025-01-05,1,21
110323,14307,10456,2025-05-28,3,16839
110324,14420,10010,2025-06-25,2,4398
110325,14317,10589,2025-10-12,1,460
110326,14331,10553,2025-08-27,2,3952
110327,14128,10643,2025-06-10,3,4728
110328,14021,10466,2025-07-25,1,5248
110329,14416,10309,2025-06-01,2,1674
110330,14105,10681,2025-12-13,1,18964
110331,14380,10673,2025-05-23,1,9654
110332,14453,10626,2026-01-12,2,15954
110333,14306,10501,2025-02-06,3,2943
110334,14007,10126,2025-05-15,3,2997
110335,14341,10199,2025-06-26,2,39998
110336,14504,10214,2025-11-11,1,31846
110337,14061,10028,2026-01-04,2,1398
110338,14049,10138,2025-05-20,2,35998
110339,14096,10146,2025-11-06,5,12495
110340,14393,10107,2025-12-27,1,799
110341,14515,10118,2025-02-17,1,2499
110342,14113,10401,2026-01-13,2,22618
110343,14088,10580,2025-02-07,1,12760
110344,14391,10655,2025-08-20,1,35
110345,14483,10064,2026-01-04,1,3999
110346,14086,10245,2025-05-02,1,850
110347,14179,10612,2025-11-09,1,656
110348,14140,10391,2025-06-20,2,7368
110349,14165,10093,2025-05-27,2,198
110350,14140,10371,2025-06-10,1,6750
110351,14203,10156,2025-03-26,1,499
110352,14207,10124,2025-04-08,3,2397
110353,14428,10176,2025-01-24,1,249
110354,14412,10430,2025-06-26,3,162744
110355,14455,10657,2025-09-30,5,1135
110356,14142,10380,2025-01-05,3,7767
110357,14342,10683,2025-06-27,2,876
110358,14035,10114,2025-09-13,1,89
110359,14014,10536,2025-12-09,2,19662
110360,14339,10386,2025-02-14,1,3638
110361,14462,10644,2025-04-20,2,1142
110362,14209,10469,2025-12-16,1,2701
110363,14441,10337,2025-04-27,3,79404
110364,14473,10296,2025-06-17,2,126434
110365,14466,10184,2026-01-02,1,199
110366,14363,10361,2025-03-16,3,4485
110367,14342,10180,2025-04-01,2,129980
110368,14394,10025,2025-06-10,2,4998
110369,14470,10463,2025-11-12,1,1061
110370,14270,10654,2025-09-13,3,7632
110371,14308,10627,2025-02-28,1,194
110372,14477,10082,2025-12-18,2,73980
110373,14365,10617,2026-02-06,1,7427
110374,14429,10298,2025-07-04,4,3076
110375,14148,10028,2026-01-15,2,1398
110376,14113,10108,2025-07-17,2,1998
110377,14360,10553,2025-05-31,2,3952
110378,14136,10102,2025-06-04,1,36990
110379,14166,10234,2025-03-27,5,5920
110380,14199,10556,2025-02-20,1,39704
110381,14199,10051,2025-07-04,2,37998
110382,14431,10380,2025-09-06,1,2589
110383,14440,10421,2025-12-16,2,114910
110384,14107,10273,2025-12-19,2,190
110385,14309,10477,2025-02-11,2,82024
110386,14119,10037,2025-01-30,1,129
110387,14290,10113,2025-01-31,1,120
110388,14382,10207,2025-04-04,2,115316
110389,14330,10601,2025-05-05,2,9288
110390,14325,10306,2025-08-01,2,386
110391,14050,10580,2025-07-07,2,25520
110392,14462,10535,2025-07-25,3,5052
110393,14166,10100,2025-01-08,2,11998
110394,14366,10494,2025-07-31,2,29670
110395,14165,10119,2025-05-17,1,13999
110396,14186,10607,2025-07-20,1,386
110397,14529,10205,2025-07-09,1,24576
110398,14505,10677,2025-07-27,2,6882
110399,14065,10506,2025-10-22,2,45860
110400,14439,10591,2026-01-31,1,263
110401,14142,10128,2026-01-06,3,747
110402,14211,10435,2025-05-02,3,1641
110403,14390,10026,2025-08-02,1,799
